label,group,n,correct,errors,accuracy,top_wrong_predictions,median_duration_s,median_raw_speed,median_raw_low_motion_frac,mean_z_duration_s,mean_rank_duration_s,mean_z_raw_speed_mean,mean_rank_raw_speed_mean,mean_z_raw_acc_mean,mean_rank_raw_acc_mean,mean_z_raw_jerk_mean,mean_rank_raw_jerk_mean,mean_z_raw_pose_amplitude,mean_rank_raw_pose_amplitude,mean_z_raw_low_motion_frac,mean_rank_raw_low_motion_frac,mean_z_raw_cad_hz,mean_rank_raw_cad_hz
Unhurriedly,SLOW,11,11,0,1.0,,14.200000001117587,0.34519562104472357,0.13402061855670103,1.1373243051177113,0.9545454545454546,-0.552689522372607,0.22727272727272727,-0.6658546332400236,0.22727272727272727,-0.6664342923664438,0.22727272727272727,0.12061188331116371,0.5,0.6335727636700687,0.7727272727272727,-0.049799807211236474,0.45454545454545453
Impatiently,FAST,9,9,0,1.0,,12.5,0.2799846893109609,0.04318936877076412,-1.2692987962012732,0.0,1.0414150833066635,0.8888888888888888,1.0770296054191322,0.8888888888888888,1.06770335947529,0.8888888888888888,0.19096812408663955,0.6111111111111112,0.07494839036131988,0.5277777777777778,-0.16988786109134654,0.5
Naturally,NEUT,9,9,0,1.0,,18.699999999254942,0.32244827693567696,0.03879310344827586,0.0095608266193298,0.5,-0.2963066850097131,0.3888888888888889,-0.2838525117600221,0.3888888888888889,-0.29675748040706823,0.3888888888888889,-0.26083288191012105,0.3888888888888889,-0.11333033010035863,0.4444444444444444,-0.5464248087803834,0.2222222222222222
Neatly,CARE,9,9,0,1.0,,11.900000002235174,0.28700012132901914,0.07692307692307693,0.23796216190684583,0.6111111111111112,-0.2897763758773507,0.3888888888888889,-0.21718554182056582,0.5,-0.26257633454167467,0.5,-0.21586875752624782,0.4444444444444444,0.3582192492928973,0.6666666666666666,-0.1709839334502208,0.3888888888888889
Relaxedly,SLOW,7,7,0,1.0,,31.200000001117587,0.2306725942149365,0.05858585858585859,1.0067875926453578,0.8571428571428571,-0.82670329930931,0.14285714285714285,-0.8146997229544857,0.14285714285714285,-0.7881970182596196,0.14285714285714285,0.0852152037209519,0.5714285714285714,-0.12509153890651054,0.5357142857142857,-0.8951918716510063,0.2857142857142857
Softly,SLOW,6,6,0,1.0,,8.549999999813735,0.15360006441348342,0.0891173342786246,0.7042237782986264,0.8333333333333334,-0.5002167942138773,0.25,-0.5398512142934048,0.25,-0.5296247295021803,0.25,0.31776714306390935,0.5833333333333334,-0.21211095265308896,0.375,0.35554921984564375,0.6666666666666666
Cautiously,CARE,5,5,0,1.0,,18.5,0.3191687269218317,0.17575757575757575,1.0173272625659924,0.9,-1.156355058700383,0.0,-1.1375026032475366,0.0,-1.1034433541020918,0.0,-1.1294395332527276,0.0,0.15663938510709255,0.6,-0.17000469863483256,0.4
Thoroughly,CARE,5,5,0,1.0,,10.0,0.34270207648557127,0.010416666666666666,0.43107234061429694,0.6,0.08839415777906234,0.6,0.0036230078723197058,0.6,0.02844182417789707,0.6,0.1710883406797252,0.5,-0.26836146508896536,0.35,-0.6009720846516302,0.2
Restlessly,NERV,4,4,0,1.0,,7.5,0.35376723190103176,0.17517128540750587,-1.2718251896216974,0.0,0.9375587311777178,0.875,0.7711885677101487,0.875,0.7130033298555967,0.875,0.1126689948148866,0.625,0.07242835034029765,0.5,0.001436303844882636,0.5
Methodically,CARE,3,3,0,1.0,,16.300000000745058,0.1949789769143844,0.04990757855822551,0.2679138812331136,0.5,-0.5351863976208452,0.3333333333333333,-0.48722876666033293,0.5,-0.3024032483586701,0.5,-0.33524820578210507,0.3333333333333333,-0.12307243164516792,0.5,-0.23821286633961913,0.5
Absentmindedly,SLOW,2,2,0,1.0,,8.799999999813735,0.3358633467238028,0.03497615262321145,-0.8571266564526705,0.0,-1.3912982058037013,0.0,-1.3605340248412057,0.0,-1.3127918460917016,0.0,-0.1610426697777846,0.5,-1.322653316981491,0.0,0.13291664130819308,0.75
Deliberately,CARE,2,2,0,1.0,,23.15000000037253,0.18008136428863214,0.01301548796417242,1.3201271478206467,1.0,-1.0989996424945003,0.0,-1.0209674345691044,0.0,-0.9823279523722477,0.0,-0.5688549778596409,0.25,0.13137764466149293,0.5,0.35841327849894583,0.75
Hasitly,FAST,2,2,0,1.0,,5.75,0.6847003452092156,0.016129032258064516,-1.009524665905845,0.0,1.0843776318849732,1.0,1.0921533630678004,1.0,1.1305640563595298,1.0,0.20191518536437697,0.75,-0.2039978944374642,0.5,0.04727358004477111,0.5
Soothingly,SLOW,2,2,0,1.0,,35.15000000130385,0.20902959808240362,0.04901548146250412,0.99174872111892,1.0,-0.9580284601846005,0.25,-0.9544587227213861,0.25,-0.9522781099354447,0.25,-0.6546331476000097,0.25,-0.29276471041729824,0.5,0.014030563871438306,0.5
Tensly,NERV,2,2,0,1.0,,8.300000000745058,0.35260688764613773,0.0832758620689655,-0.9230493495746339,0.25,0.8772354711184656,0.75,0.8152157317475411,0.75,0.758467323843465,0.75,0.7811516226719549,0.75,0.0906793124398993,0.75,1.3361006844110275,1.0
Eagerly,FAST,1,1,0,1.0,,13.199999999254942,0.29791628949265664,0.05303030303030303,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999992,1.0,-1.0,0.0,1.0,1.0
Firmly,NEUT,1,1,0,1.0,,23.5,0.5437805196652319,0.03829787234042553,0.9106758276601975,1.0,-0.5939440649821897,0.5,-0.600972717780256,0.5,-0.6129805423011825,0.5,-1.4128856097378375,0.0,-0.39272770172496824,0.5,-0.7106630731862247,0.0
