label_a,label_b,symmetric_oof_errors,matched_sessions,feature,n_pairs,mean_a_minus_b_rank,median_a_minus_b_rank,sign_consistency,paired_standardised_mean,abs_mean_rank_delta
Calmly,Leisurely,2,16,raw_hip_path,16,-0.40625,-0.5,0.8125,-0.8281766860861415,0.40625
Leisurely,Steadily,2,14,dino_straight,14,-0.39285714285714285,-0.5,0.7857142857142857,-0.7476568467440781,0.39285714285714285
Attentively,Leisurely,2,4,sk_hip_path,4,0.375,0.5,0.75,0.5960395606792698,0.375
Attentively,Leisurely,2,4,raw_hip_path,4,0.375,0.5,0.75,0.5960395606792698,0.375
Attentively,Leisurely,2,4,raw_pose_amplitude,4,0.375,0.75,0.75,0.3962029078465307,0.375
Calmly,Carefully,2,4,sk_jerk_mean,4,0.375,0.5,0.75,0.5960395606792698,0.375
Calmly,Carefully,2,4,imu_acc_std,4,0.375,0.5,0.75,0.5960395606792698,0.375
Calmly,Carefully,2,4,imu_acc_energy,4,0.375,0.5,0.75,0.5960395606792698,0.375
Calmly,Carefully,2,4,rad_v_mean,4,0.375,0.5,0.75,0.5960395606792698,0.375
Calmly,Carefully,2,4,dino_v_mean,4,0.375,0.5,0.75,0.5960395606792698,0.375
Calmly,Leisurely,2,16,duration_s,16,-0.375,-0.5,0.875,-1.0978875820671,0.375
Calmly,Leisurely,2,16,raw_duration_s,16,-0.375,-0.5,0.875,-1.0978875820671,0.375
Nervously,Steadily,2,2,rad_v_p90,2,-0.375,-0.375,0.5,-0.7071067811865476,0.375
Leisurely,Steadily,2,14,dino_path,14,0.35714285714285715,0.5,0.7857142857142857,0.7182430061427789,0.35714285714285715
Leisurely,Steadily,2,14,duration_s,14,0.32142857142857145,0.5,0.7857142857142857,0.6921501885649404,0.32142857142857145
Leisurely,Steadily,2,14,sk_hip_path,14,0.32142857142857145,0.5,0.7142857142857143,0.42883331153419413,0.32142857142857145
Leisurely,Steadily,2,14,raw_duration_s,14,0.32142857142857145,0.5,0.7857142857142857,0.6921501885649404,0.32142857142857145
Leisurely,Steadily,2,14,raw_hip_path,14,0.32142857142857145,0.5,0.7142857142857143,0.42883331153419413,0.32142857142857145
Calmly,Leisurely,2,16,rad_v_mean,16,0.3125,0.5,0.75,0.5190342490858748,0.3125
Leisurely,Steadily,2,14,imu_gyr_energy,13,-0.3076923076923077,-0.5,0.7692307692307693,-0.6405126152203486,0.3076923076923077
Leisurely,Steadily,2,14,sk_v_iqr,14,-0.2857142857142857,-0.5,0.7142857142857143,-0.5245305283129621,0.2857142857142857
Attentively,Leisurely,2,4,duration_s,4,0.25,0.5,0.75,0.5,0.25
Attentively,Leisurely,2,4,sk_vmax_mean,4,0.25,0.5,0.75,0.2886751345948129,0.25
Attentively,Leisurely,2,4,sk_jerk_mean,4,-0.25,-0.25,0.5,-0.2886751345948129,0.25
