action,group,emotion_rows,errors,accuracy,median_duration_s,median_raw_speed
Stretching,SLOW,32,1,0.96875,26.399999999441206,0.2721518682267354
Sweeping,CARE,18,4,0.7777777777777778,26.0,0.24294500145050985
Sweeping,FAST,21,2,0.9047619047619048,16.850000000558794,0.3328421971423866
Sweeping,NEUT,8,1,0.875,31.200000001117587,0.2484424074399205
Sweeping,SLOW,16,1,0.9375,32.90000000037253,0.22248864311225247
Taking a selfie,CARE,4,1,0.75,9.0,0.2584760240500307
Taking a selfie,FAST,10,0,1.0,13.599999999627471,0.34089722409849654
Taking a selfie,NERV,4,1,0.75,12.5,0.35316159441922196
Taking a selfie,NEUT,8,2,0.75,15.850000000558794,0.3401663787113902
Taking a selfie,SLOW,16,6,0.625,19.25,0.24741478166011666
Taking medicine,CARE,8,1,0.875,28.75,0.1730236496603263
Taking medicine,FAST,17,0,1.0,16.300000000745058,0.2785433961166838
Taking medicine,NERV,9,0,1.0,11.600000001490116,0.286006357693472
Taking medicine,NEUT,11,0,1.0,34.399999998509884,0.25332513630934755
Taking medicine,SLOW,30,2,0.9333333333333333,20.15000000037253,0.19445667109109357
Turning a page,CARE,10,4,0.6,18.600000001490116,0.2332669094158792
Turning a page,FAST,14,0,1.0,17.600000000558794,0.3144169923357677
Turning a page,NERV,9,2,0.7777777777777778,18.400000002235174,0.19990121460155286
Turning a page,NEUT,8,0,1.0,25.850000001490116,0.2073039245538112
Turning a page,SLOW,27,5,0.8148148148148148,29.100000001490116,0.1876028767331326
Typing on a keyboard,CARE,14,1,0.9285714285714286,13.949999999254942,0.27977620804479597
Typing on a keyboard,FAST,17,1,0.9411764705882353,15.099999997764826,0.34304348526268647
Typing on a keyboard,NERV,14,1,0.9285714285714286,14.149999999441206,0.30987708122145685
Typing on a keyboard,NEUT,15,2,0.8666666666666667,24.600000001490116,0.23233231321817205
Typing on a keyboard,SLOW,32,4,0.875,22.500000000931323,0.21799567396225222
Undressing,CARE,2,0,1.0,12.800000000745058,0.29314174890816963
Undressing,FAST,10,0,1.0,9.600000001490116,0.46228070857518355
Undressing,NERV,5,0,1.0,10.899999998509884,0.5729890237392486
Undressing,NEUT,7,1,0.8571428571428571,16.099999997764826,0.32244827693567696
Undressing,SLOW,21,3,0.8571428571428571,20.099999997764826,0.33816440878782095
Using a phone,CARE,4,0,1.0,24.350000001490116,0.28432508281376745
Using a phone,FAST,17,1,0.9411764705882353,18.0,0.3145316430532539
Using a phone,NERV,3,0,1.0,11.399999998509884,0.2536228826645328
Using a phone,NEUT,13,2,0.8461538461538461,23.300000000745058,0.20271436706655915
Using a phone,SLOW,19,2,0.8947368421052632,22.299999997019768,0.18849350646592988
Walking,CARE,65,9,0.8615384615384616,15.749999999068677,0.33950654033155
Walking,FAST,126,8,0.9365079365079365,12.400000000372529,0.4460910691874409
Walking,NERV,17,3,0.8235294117647058,11.399999998509884,0.33818171991408236
Walking,NEUT,62,7,0.8870967741935484,18.549999999813735,0.334495251384598
Walking,SLOW,138,17,0.8768115942028986,19.200000001117587,0.2907428184352771
Washing dishes,CARE,6,1,0.8333333333333334,26.800000000745058,0.13387059386818181
Washing dishes,FAST,9,0,1.0,15.100000000558794,0.3246572755731148
Washing dishes,NERV,3,0,1.0,11.400000000372529,0.31058289548909673
